SPECIES,TRANGULAR_HEAD,PUPIL_SLITS,THICK_BODY,NOSE_PITS,VENOMOUS?
#
Western_diamondback_rattle_snake,1,1,1,1,1
Cotton_mouth,1,1,1,1,1
Eastern_copper_head,1,1,1,1,1
Coral_snake,0,0,0,0,1
Baja_california_rat_snake,0,0,0,0,0
Western_corn_snake,0,0,0,0,0
Coast_garter_snake,0,0,0,0,0
Pacific_gopher_snake,0,0,0,0,0
Mojave_desert_sidewinder,1,1,1,1,1
Colorado_desert_sidewinder,1,1,1,1,1
California_king_snake,0,0,0,0,0
Whip_snake,0,0,0,0,0
Rough_green_snake,0,0,0,0,0
Northern_rubber_boa,0,0,1,0,0
Coachwhip,0,0,0,0,0
Sharptailed_snake,0,0,1,0,0
Western_yellow_bellied_racer,0,0,0,0,0
Pacific_ring_necked_snake,0,0,0,0,0
Desert_glossy_snake,0,0,1,0,0
Colorado_desert_shovelnosed_snake,0,0,0,0,0
Forest_sharp_tailed_snake,0,0,0,0,0
Sonoran_night_snake,0,0,1,0,0
Braminy_blind_snake,0,0,0,0,0
Boa_constrictor,1,1,1,0,0
Yellow_bellied_sea_snake,0,0,0,0,1
